     stop_id     |                    stop_name                     |     stop_id     |                    stop_name                     |       distance
 1331196         | Loppersum, Station (Perron B)                    | 653595          | Loppersum, Station (Perron C)                    |  0.00350512063078224
 1217161         | Delft, Station Delft (Perron H)                  | 1217165         | Delft, Station Delft (Perron I)                  |  0.00357520368224812
 1217163         | Delft, Station Delft (Perron F)                  | 1217760         | Delft, Station Delft (Perron G)                  |  0.00357520703607328
 1217162         | Delft, Station Delft (Perron E)                  | 1217163         | Delft, Station Delft (Perron F)                  |  0.00357520860167376
 1501438         | Krimpen ad IJssel, Raadhuisplein                 | 80784           | Krimpen a/d IJssel, Raadhuisplein                |  0.00358062600205454
 1421497         | Venlo, Station Perron E                          | 1421562         | Venlo, Station Perron D                          |   0.0036127317621487
 1217162         | Delft, Station Delft (Perron E)                  | 1501324         | Delft, Station Delft Perron E                    |  0.00365172346904592
 103928          | Amsterdam, Van Boshuizenstraat                   | 364278          | Amsterdam, van Boshuizenstraat                   |  0.00366544804561675
 1400484         | Nieuwegein, Stadscentrum (Perron G)              | 650662          | Nieuwegein, Stadscentrum (Perron F)              |  0.00367169004270347
 415754          | Nijmegen, Plein 1944 (C)                         | 415757          | Nijmegen, Plein 1944 (D)                         |  0.00367557117367798
 419441          | Meppel, Burgem. Knopperslaan                     | 869156          | Meppel, Burg. Knopperslaan                       |  0.00368797756258147
 521325          | St. Maartensvlotbrug, St. Maartensweg            | 644406          | St. Maartensvlotbrug, St.Maartensweg             |  0.00369018921425442
 1332026         | Emmen, Station (Perron B)                        | 1332984         | Emmen, Station (Perron A)                        |  0.00369083450529096
 1331727         | Emmen, Station (Perron C)                        | 1332026         | Emmen, Station (Perron B)                        |  0.00369083450828148
 1332630         | Assen, Station (Perron F)                        | 1378266         | Assen, Station (Perron C)                        |  0.00369805777551446
 1331662         | Assen, Station (Perron E)                        | 1378266         | Assen, Station (Perron C)                        |  0.00369805777551446
 1420902         | 's-Hertogenbosch, Centraal Station (D)           | 1421041         | 's-Hertogenbosch, Centraal Station (E)           |  0.00371389803150748
 1421043         | 's-Hertogenbosch, Centraal Station (C)           | 323590          | 's-Hertogenbosch, Centraal Station (B)           |   0.0037139001783121
 1216573         | Maastricht, Station Perron F                     | 1479319         | Maastricht, Station Perron E                     |  0.00373895161131274
 1332018         | Delfzijl, Station (Perron D)                     | 1378265         | Delfzijl, Station (Perron C)                     |   0.0037438217594617
 1332847         | Assen, Station (Perron B)                        | 1378266         | Assen, Station (Perron C)                        |  0.00374576167607409
 1330994         | Assen, Station (Perron H)                        | 1331662         | Assen, Station (Perron E)                        |  0.00374814776674904
 1330994         | Assen, Station (Perron H)                        | 1332630         | Assen, Station (Perron F)                        |  0.00374814776674904
 1217161         | Delft, Station Delft (Perron H)                  | 1501698         | Delft, Station Delft (Perron F)                  |  0.00375155958026731
 1217161         | Delft, Station Delft (Perron H)                  | 1217760         | Delft, Station Delft (Perron G)                  |  0.00375155958026731
 1333095         | Appingedam, Busstation (Perron A)                | 1333342         | Appingedam, Busstation (Perron B)                |  0.00375737329735903
 1331793         | Appingedam, Busstation (Perron D)                | 1332066         | Appingedam, Busstation (Perron E)                |  0.00379566367156159
 1196136         | Rotterdam, Zuidplein perron L                    | 1377746         | Rotterdam, Zuidplein perron M                    |  0.00379865862851075
 1421039         | 's-Hertogenbosch, Centraal Station (G)           | 1421040         | 's-Hertogenbosch, Centraal Station (H)           |  0.00382029062509645
 1331499         | Delfzijl, Station (Perron F)                     | 1332018         | Delfzijl, Station (Perron D)                     |   0.0038400290714931
 387997          | Nieuw Vossemeer, Slaakdam                        | 435549          | Nieuw-Vossemeer, Slaakdam                        |  0.00386376564221314
 1377659         | Haarlem, Station E                               | 511218          | Haarlem, Station                                 |  0.00386644114243137
 1377603         | Haarlem, Station F                               | 1377659         | Haarlem, Station E                               |  0.00386644114243137
 1329250         | Zeist, Station Driebergen-Zeist (Perron J)       | 1330408         | Zeist, Station Driebergen-Zeist (Perron H)       |  0.00387294654797037
 1217603         | Zoetermeer, Centrum West (Perron E)              | 1217604         | Zoetermeer, Centrum West (Perron F)              |  0.00387868138489639
 1133642         | Rotterdam, Zuidplein perron N                    | 1377746         | Rotterdam, Zuidplein perron M                    |  0.00389024670318447
 1331195         | Loppersum, Station (Perron B)                    | 1377881         | Loppersum, Station (Perron D)                    |  0.00390274842231685
 1331986         | Groningen, Hoofdstation (Perron X)               | 1331990         | Groningen, Hoofdstation (Perron Y)               |  0.00390648605717727
 1421400         | Venlo, Station Perron C                          | 1421562         | Venlo, Station Perron D                          |  0.00390830184900323
 1134318         | Rotterdam, Zuidplein perron I                    | 1196135         | Rotterdam, Zuidplein perron J                    |  0.00392852661293459
 1501696         | Delft, Station Delft (Perron H)                  | 1501758         | Delft, Station Delft (Perron G)                  |  0.00393837896993741
 1421487         | Venlo, Station Perron F                          | 1421497         | Venlo, Station Perron E                          |   0.0039410803364352
 417702          | Den Helder, Station                              | NL:S:34000010   | Den Helder, Station                              |  0.00395719951127269
 1331441         | Hoogkerk, P+R Hoogkerk (Perron E)                | 1331575         | Hoogkerk, P+R Hoogkerk (Perron F)                |  0.00396317732135542
 1420192         | Amsterdam, G.v. Ledenberchstraat                 | 15323           | Amsterdam, G. v.Ledenberchstraat                 |  0.00398538195486311
 1329555         | Nieuwegein, Stadscentrum (Perron E)              | 650662          | Nieuwegein, Stadscentrum (Perron F)              |  0.00401487758177556
 1419913         | Nijmegen, Plein 1944 (B)                         | 415756          | Nijmegen, Plein 1944 (A)                         |  0.00402111113755636
 1330875         | Hoogeveen, Station (Perron E)                    | 1331961         | Hoogeveen, Station (Perron F)                    |   0.0040328228909504
 1501128         | Spijkenisse, Halfweg                             | 677328          | Spijkenisse, Halfweg 2                           |   0.0040334054176222
 1401126         | Groningen, Zernike Noord (Perron E)              | 1401128         | Groningen, Zernike Noord (Perron F)              |  0.00403547184460553
 418656          | Arnhem, Huyghenslaan                             | 516             | Arnhem, Huijghenslaan                            |  0.00407214102556607
 1331195         | Loppersum, Station (Perron B)                    | 653595          | Loppersum, Station (Perron C)                    |  0.00407686412675036
 1100655         | Krimpen ad IJssel, Nieuwe Vliet                  | 252496          | Krimpen a/d IJssel, Nieuwe Vliet                 |  0.00407846813921156
 1099932         | Delft, TU Kluyverpark                            | 1217460         | Delft, TU - Kluyverpark                          |  0.00409917492892938
 558979          | Nieuwerkerk ad IJssel, Kroonkruid                | 81437           | Nieuwerkerk a/d IJssel, Kroonkruid               |  0.00412867249940281
 1356136         | Utrecht, CS Jaarbeursplein (Perron G4)           | 1356137         | Utrecht, CS Jaarbeursplein (Perron G5)           |  0.00413332066809013
 1217165         | Delft, Station Delft (Perron I)                  | 1501758         | Delft, Station Delft (Perron G)                  |  0.00414464481284214
 1377602         | Haarlem, Station D                               | NL:S:55000050   | Haarlem, Station                                 |   0.0041549349569098
 1134372         | Nieuwerkerk ad IJssel, Goudmos                   | 550373          | Nieuwerkerk a/d IJssel, Goudmos                  |   0.0041551547870388
 87355           | Den Haag Centraal                                | 98791           | Den Haag, Centraal                               |  0.00421711315293288
 1331793         | Appingedam, Busstation (Perron D)                | 1333605         | Appingedam, Busstation (Perron C)                |  0.00426581155850829
 1501697         | Delft, Station Delft (Perron E)                  | 1501698         | Delft, Station Delft (Perron F)                  |  0.00433168405901532
 1217760         | Delft, Station Delft (Perron G)                  | 1501697         | Delft, Station Delft (Perron E)                  |  0.00433168405901532
 1501051         | Hoogvliet Rotterdam, Hoogvliet Metro Busperron B | 1501052         | Hoogvliet Rotterdam, Hoogvliet Metro Busperron A |   0.0043400975952144
 1241363         | Hoogvliet Rotterdam, Hoogvliet Metro Busperron A | 1501051         | Hoogvliet Rotterdam, Hoogvliet Metro Busperron B |   0.0043400975952144
 238196          | Drempt, De Braamberg                             | 417982          | Drempt, de Braamberg                             |  0.00434020474910835
 1378265         | Delfzijl, Station (Perron C)                     | 654644          | Delfzijl, Station (Perron E)                     |  0.00436026670210475
 1237174         | Arnhem, Wielewaalstraat/Hoogte 80                | 365310          | Arnhem, Wielewaalstraat/Hoogte80                 |  0.00437243611807188
 1099926         | Delft, TU Aula                                   | 1216967         | Delft, TU - Aula                                 |  0.00437245117384425
 679279          | Roermond, Station Perron D                       | 679287          | Roermond, Station Perron C                       |  0.00437426181812358
 581561          | Utrecht, P+R Papendorp                           | 681037          | Utrecht, P-R Papendorp                           |  0.00440557130849573
 1421524         | Roermond, Station Perron B                       | 679337          | Roermond, Station Perron A                       |  0.00441225574805216
 1331588         | Meppel, Station (Perron D)                       | 1378196         | Meppel, Station (Perron B)                       |  0.00442442381682708
 1401099         | Groningen, Zernike Noord (Perron G)              | 1401128         | Groningen, Zernike Noord (Perron F)              |  0.00442632254407496
 1330290         | Soesterberg, Dumoulinkazerne                     | 672898          | Soesterberg, Du Moulinkazerne                    |  0.00443894424899497
 1217106         | Naaldwijk, Busstation (Perron G)                 | 1217583         | Naaldwijk, Busstation (Perron H)                 |  0.00443985470893727
 1332018         | Delfzijl, Station (Perron D)                     | 1377888         | Delfzijl, Station (Perron A)                     |  0.00445483701726607
 1331986         | Groningen, Hoofdstation (Perron X)               | 1331987         | Groningen, Hoofdstation (Perron W)               |  0.00446869323788009
 1421478         | Venray, Station                                  | 1421486         | Venray, Station B                                |  0.00448087026017992
 1332167         | Assen, M.L. Kingweg (Perron C)                   | 1332687         | Assen, M.L. Kingweg (Perron D)                   |  0.00451252430044488
 1501340         | Krimpen ad IJssel, Industrieweg                  | 98364           | Krimpen a/d IJssel, Industrieweg                 |  0.00452541045975109
 1421036         | 's-Hertogenbosch, Centraal Station (K)           | 1421038         | 's-Hertogenbosch, Centraal Station (I)           |  0.00452596838943245
 1217584         | Naaldwijk, Busstation (Perron E)                 | 1217848         | Naaldwijk, Busstation (Perron D)                 |  0.00453041978336046
 1333096         | Scheemda, Busstation (Perron C)                  | 1333345         | Scheemda, Busstation (Perron B)                  |  0.00453689082253739
 1421533         | Venlo, Station Perron B                          | 1421547         | Venlo, Station Perron A                          |  0.00455565090155635
 355364          | Drempt, de Braamberg                             | 81              | Drempt, De Braamberg                             |  0.00462801065479867
 1217191         | Zoetermeer, Centrum West (Perron C)              | 1217193         | Zoetermeer, Centrum West (Perron B)              |  0.00463732567279687
 1329671         | Nieuw-Loosdrecht, Nieuw Loosdrechtsedijk         | 356084          | Nieuw Loosdrecht, Nieuw Loosdrechtsedijk         |  0.00464694259111813
 1330177         | Soesterberg, Bethanië/Hebron                     | 672299          | Soesterberg, Bethanie/Hebron                     |   0.0046602218906469
 1330391         | Amersfoort, Zorgc.De Lichtenberg                 | 675227          | Amersfoort, Zorgc. De Lichtenberg                |  0.00470413921611165
 1400584         | Utrecht, Station Lunetten (Perron B)             | 826465          | Utrecht, Station Lunetten (Perron C)             |   0.0047106611308307
 1330443         | Zeist, Station Driebergen-Zeist (Perron F)       | 1400575         | Zeist, Station Driebergen-Zeist (Perron E)       |  0.00474794742398143
 1331696         | Hoogkerk, P+R Hoogkerk (Perron D)                | 980396          | Hoogkerk, P+R Hoogkerk (Perron C)                |  0.00475566100323891
 1420881         | Uden, Busstation (A)                             | 1420900         | Uden, Busstation (B)                             |  0.00481034701720783
 1217602         | Zoetermeer, Centrum West (Perron G)              | 1217604         | Zoetermeer, Centrum West (Perron F)              |  0.00482222848787226
